"Mun US Noti MT","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Semana 43","Semana 44","Semana 45","Semana 46","Semana 47","Semana 48","Semana 49","Semana 50","Semana 51","Semana 52","Total"
"510645 Planalto da Serra",0,0,2,1,1,0,15,1,1,11,18,7,16,0,7,0,3,3,9,9,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,114
"510650 Poconé",0,0,0,1,0,1,0,2,4,2,3,3,0,1,4,2,0,2,3,2,3,0,5,1,4,4,3,2,5,3,3,10,8,2,0,1,5,2,2,5,2,1,0,1,1,0,1,4,3,26,63,84,284
"510665 Pontal do Araguaia",0,0,2,0,0,0,1,2,1,2,6,2,0,2,4,5,2,5,9,2,1,0,0,0,2,1,0,0,0,0,0,1,0,2,1,3,1,1,0,1,0,2,2,4,2,0,4,5,4,8,2,2,94
"510670 Ponte Branca",1,10,5,8,2,4,0,3,5,1,2,1,4,3,22,7,2,10,4,2,12,1,2,7,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,125
"510675 Pontes e Lacerda",9,19,23,23,27,60,26,61,45,42,65,79,62,66,79,64,87,76,73,53,64,35,39,20,28,18,17,35,10,12,7,3,6,4,2,4,6,7,6,7,15,14,10,17,20,28,26,27,58,38,31,47,1700
"510677 Porto Alegre do Norte",0,3,2,7,3,3,8,3,26,16,14,22,12,7,3,7,8,3,3,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,163
"510680 Porto dos Gaúchos",0,0,0,0,0,0,0,4,0,2,3,1,0,1,4,1,3,2,6,2,1,0,0,1,1,3,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,45
"510682 Porto Esperidião",0,1,1,2,1,0,3,1,1,0,2,6,1,0,1,6,10,7,8,3,9,1,5,5,0,3,3,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85
"510685 Porto Estrela",0,0,1,0,0,0,0,2,0,4,7,3,0,1,2,0,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"510700 Poxoréo",0,0,1,0,0,0,0,1,1,1,4,1,2,2,0,1,4,0,3,1,6,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"510704 Primavera do Leste",21,57,80,104,69,156,92,130,176,194,123,113,81,116,121,121,120,153,205,142,129,62,74,66,54,34,55,44,19,12,29,32,29,16,8,11,6,10,10,7,4,4,7,3,10,1,7,14,25,7,17,13,3193
"510706 Querência",1,1,1,0,0,2,7,10,11,16,45,86,50,49,31,41,46,20,43,40,28,20,1,6,2,1,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,569
"510715 Reserva do Cabaçal",0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,0,24
"510718 Ribeirão Cascalheira",0,0,0,0,2,3,0,0,2,0,0,1,1,3,0,5,0,0,5,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"510719 Ribeirãozinho",0,1,1,2,0,0,1,3,3,1,0,0,0,1,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,22
"510720 Rio Branco",0,0,0,0,0,0,0,0,0,1,4,14,19,47,49,40,11,3,4,0,0,0,0,0,0,0,3,3,3,7,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,13,25,5,269
"510757 Rondolândia",0,0,0,0,0,0,1,8,11,10,2,4,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,49
