"Mun US Noti MT","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Total"
"510515 Juína",3,2,2,6,5,15,12,4,12,8,3,8,6,14,13,5,8,3,5,10,10,11,4,3,2,6,6,6,0,1,3,3,0,0,1,0,0,0,0,0,0,0,200
"510517 Juruena",10,30,54,108,134,16,7,4,7,13,17,15,9,7,5,0,2,3,1,1,5,0,3,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,456
"510520 Juscimeira",0,8,3,11,13,2,4,4,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
"510523 Lambari d'Oeste",0,12,7,20,20,9,14,38,15,14,18,11,6,16,3,1,0,0,2,0,0,0,2,1,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,216
"510525 Lucas do Rio Verde",2,1,4,6,11,13,11,14,11,15,23,16,12,12,15,14,14,10,3,3,3,0,4,3,1,1,0,2,0,0,0,0,1,0,2,6,1,4,8,5,12,7,270
"510530 Luciara",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"510558 Marcelândia",1,4,3,1,2,0,2,0,4,1,1,1,4,1,5,4,3,5,5,2,6,8,4,3,2,4,1,1,1,0,2,2,1,0,1,1,1,0,0,1,1,0,89
"510560 Matupá",2,4,1,3,4,5,1,5,5,5,11,11,9,10,12,9,11,8,10,41,59,55,23,14,6,12,8,11,0,1,6,2,6,1,3,1,1,1,2,2,1,4,386
"510562 Mirassol d'Oeste",5,14,17,27,20,10,22,9,8,3,3,3,10,4,3,1,3,2,3,2,6,2,5,2,2,2,1,0,1,0,0,0,2,3,2,0,1,0,2,0,3,0,203
"510590 Nobres",0,2,15,13,14,10,13,15,8,1,10,11,3,7,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
"510600 Nortelândia",0,1,0,0,2,0,2,2,2,1,3,1,2,3,1,3,6,2,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,41
"510610 Nossa Senhora do Livramento",2,6,0,3,3,5,3,1,1,1,0,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35
"510615 Nova Bandeirantes",1,3,12,15,15,28,14,21,15,19,3,11,14,2,11,25,5,2,0,1,0,0,0,0,0,2,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,227
"510617 Nova Nazaré",0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12
"510620 Nova Brasilândia",0,0,1,3,5,5,3,0,1,0,1,4,5,2,1,0,2,1,6,0,3,0,0,1,1,1,0,1,2,1,0,2,0,1,0,0,0,0,0,0,0,0,53
"510621 Nova Canaã do Norte",1,3,1,5,9,6,18,34,25,17,8,7,8,11,1,2,5,5,5,4,7,7,5,5,3,0,0,0,0,0,5,1,2,1,0,0,0,0,1,0,0,0,212
"510880 Nova Guarita",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"510618 Nova Lacerda",0,8,6,9,2,5,1,4,9,0,4,5,2,4,6,6,6,5,1,0,2,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
"510619 Nova Santa Helena",0,0,2,0,1,1,2,3,5,1,3,0,2,2,3,2,1,4,2,6,4,6,9,3,4,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,72
"510885 Nova Marilândia",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
"510890 Nova Maringá",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,3,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"510895 Nova Monte Verde",5,30,0,3,1,0,0,0,0,0,0,1,3,3,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58
"510622 Nova Mutum",23,24,25,33,32,26,32,32,38,37,35,40,40,27,36,33,37,42,43,46,62,41,31,33,11,14,4,12,7,13,9,11,7,16,11,4,38,38,27,29,20,17,1136
"510623 Nova Olímpia",0,1,0,0,0,0,1,3,4,5,3,4,6,0,0,1,3,0,4,1,0,1,2,1,2,1,0,0,2,2,0,0,0,0,1,0,0,2,0,0,0,0,50
"510624 Nova Ubiratã",0,1,1,1,0,2,3,9,1,4,5,10,4,1,3,3,8,1,3,2,1,8,5,3,2,6,2,3,2,0,0,3,1,3,3,1,0,0,0,0,0,0,105
"510625 Nova Xavantina",1,2,2,1,0,4,3,1,2,3,0,1,3,3,0,3,1,0,6,6,4,4,3,9,2,3,1,3,2,4,7,5,1,1,1,2,1,0,0,0,0,0,95
"510627 Novo Horizonte do Norte",0,0,1,1,0,0,0,2,1,4,5,5,6,9,4,4,4,2,3,7,4,5,1,1,3,5,3,2,10,5,0,2,2,1,1,0,2,0,1,0,1,2,109
"510626 Novo Mundo",1,0,0,2,2,2,1,0,5,1,0,6,1,1,3,5,4,2,4,5,2,7,10,8,0,1,1,11,4,0,0,2,0,1,0,0,2,0,1,0,1,0,96
"510628 Novo São Joaquim",0,1,3,3,2,0,6,19,10,7,13,6,6,7,7,5,10,13,18,19,4,12,10,3,2,1,3,5,3,0,3,3,1,2,0,0,1,0,0,0,1,0,209
